site,origin_lat,origin_lng,dest_lat,dest_lng,origin_nearest_road,origin_impression,destination_nearest_road,destination_impression
GP01_GP02,14.554214,120.997311,14.557658,121.007314,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
GP02_GP01,14.557755,121.007246,14.554016,120.997311,R-2 (Taft Avenue),119119,R-2 (Taft Avenue),119119
BGC01_BGC02,14.549061,121.046858,14.548942,121.047091,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
BGC02_BGC01,14.549861,121.04437,14.550755,121.047431,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
C501_C502,14.66416082,121.0724647,14.6631018,121.0742312,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C502_C501,14.66320171,121.074368,14.66430369,121.0725354,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C502_C503,14.6631018,121.0742312,14.65758965,121.0741903,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C503_C502,14.65755038,121.0744473,14.66320171,121.074368,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C503_C504,14.65758965,121.0741903,14.6481949,121.0742104,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C504_C503,14.6481949,121.0744445,14.65755038,121.0744473,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C504_C505,14.6481949,121.0742104,14.64243391,121.0746006,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C505_C504,14.64251046,121.0747635,14.6481949,121.0744445,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C505_C506,14.64243391,121.0746006,14.6358201,121.0743011,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C506_C505,14.6358014,121.0744916,14.64251046,121.0747635,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C506_C507,14.6358201,121.0743011,14.63382125,121.0741359,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C507_C506,14.63378536,121.0744248,14.6358014,121.0744916,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C507_C508,14.63382125,121.0741359,14.63112529,121.0740079,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C508_C507,14.63119102,121.0743235,14.63378536,121.0744248,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C508_C509,14.63112529,121.0740079,14.62358505,121.0741541,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C509_C508,14.62357733,121.0742921,14.63119102,121.0743235,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
C509_C510,14.62358505,121.0741541,14.61436702,121.071205,R-7 (Quezon Avenue),356012,R-5 (Ortigas Avenue),188765
C510_C509,14.61458387,121.0712727,14.62357733,121.0742921,R-5 (Ortigas Avenue),188765,R-7 (Quezon Avenue),356012
C510_C511,14.61436702,121.071205,14.61169519,121.0754639,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C511_C510,14.61173231,121.0756329,14.61458387,121.0712727,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C511_C512,14.61169519,121.0754639,14.6071664,121.0785722,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C512_C511,14.60722194,121.078727,14.61173231,121.0756329,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C512_C513,14.6071664,121.0785722,14.60111819,121.0792615,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C513_C512,14.60132925,121.0794272,14.60722194,121.078727,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C513_C514,14.60111819,121.0792615,14.58969408,121.0798716,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C514_C513,14.58969408,121.0799674,14.60132925,121.0794272,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C514_C515,14.58969408,121.0798716,14.58261353,121.0767354,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C515_C514,14.58251824,121.076857,14.58969408,121.0799674,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C515_C516,14.58261353,121.0767354,14.57757533,121.0733537,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C516_C515,14.57753936,121.0734742,14.58251824,121.076857,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C516_C517,14.57757533,121.0733537,14.56520287,121.0700586,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C517_C516,14.56514664,121.0702065,14.57753936,121.0734742,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C517_C518,14.56520287,121.0700586,14.55596345,121.0627814,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C518_C517,14.55588772,121.0628544,14.56514664,121.0702065,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
C518_C519,14.55596345,121.0627814,14.5463191,121.055665,R-5 (Ortigas Avenue),188765,R-4 (Shaw Boulevard),144836
C519_C518,14.54620253,121.0557718,14.55588772,121.0628544,R-4 (Shaw Boulevard),144836,R-5 (Ortigas Avenue),188765
CW01_CW02,14.68719542,121.0869344,14.68285387,121.0851442,R-8 (Commonwealth Avenue),107001,R-8 (Commonwealth Avenue),107001
CW02_CW01,14.6827397,121.0854536,14.68717077,121.087147,R-8 (Commonwealth Avenue),107001,R-8 (Commonwealth Avenue),107001
CW02_CW03,14.68285387,121.0851442,14.67780698,121.0829324,R-8 (Commonwealth Avenue),107001,R-8 (Commonwealth Avenue),107001
CW03_CW02,14.67772863,121.0832223,14.6827397,121.0854536,R-8 (Commonwealth Avenue),107001,R-8 (Commonwealth Avenue),107001
CW03_CW04,14.67780698,121.0829324,14.6746729,121.0810036,R-8 (Commonwealth Avenue),107001,R-8 (Commonwealth Avenue),107001
CW04_CW03,14.67457857,121.0812676,14.67772863,121.0832223,R-8 (Commonwealth Avenue),107001,R-8 (Commonwealth Avenue),107001
CW04_CW05,14.6746729,121.0810036,14.67101518,121.0778206,R-8 (Commonwealth Avenue),107001,R-8 (Commonwealth Avenue),107001
CW05_CW04,14.67075736,121.0781352,14.67457857,121.0812676,R-8 (Commonwealth Avenue),107001,R-8 (Commonwealth Avenue),107001
CW05_CW06,14.67101518,121.0778206,14.66705835,121.0728223,R-8 (Commonwealth Avenue),107001,R-7 (Quezon Avenue),356012
CW06_CW05,14.66682025,121.0730105,14.67075736,121.0781352,R-7 (Quezon Avenue),356012,R-8 (Commonwealth Avenue),107001
CW06_CW07,14.66705835,121.0728223,14.66393151,121.0679809,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
CW07_CW06,14.66368931,121.0682516,14.66682025,121.0730105,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
CW07_CW08,14.66393151,121.0679809,14.66174196,121.0647477,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
CW08_CW07,14.66150416,121.0649239,14.66368931,121.0682516,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
CW08_CW09,14.66174196,121.0647477,14.65833687,121.0595127,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
CW09_CW08,14.65806736,121.0598377,14.66150416,121.0649239,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
CW09_CW10,14.65833687,121.0595127,14.65441528,121.0535798,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
CW10_CW09,14.65412661,121.0539762,14.65806736,121.0598377,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
CW10_CW11,14.65441528,121.0535798,14.65314154,121.0512353,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
CW11_CW10,14.65244127,121.0517527,14.65412661,121.0539762,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
ED01_ED02,14.65741846,121.0039993,14.65741456,121.010973,C-3,136851,C-3,136851
ED02_ED01,14.65764201,121.010966,14.65757715,121.0039841,C-3,136851,C-3,136851
ED02_ED03,14.65741456,121.010973,14.65755326,121.0196321,C-3,136851,R-8 (Commonwealth Avenue),107001
ED03_ED02,14.65778455,121.019702,14.65764201,121.010966,R-8 (Commonwealth Avenue),107001,C-3,136851
ED03_ED04,14.65755326,121.0196321,14.6561373,121.0273117,R-8 (Commonwealth Avenue),107001,R-7 (Quezon Avenue),356012
ED04_ED03,14.65636136,121.0273557,14.65778455,121.019702,R-7 (Quezon Avenue),356012,R-8 (Commonwealth Avenue),107001
